date,subbasin,runoff
2004-03-22,6777,0.027
2004-03-23,6777,0.017
2004-03-24,6777,0.023
2004-03-25,6777,0.015
2004-03-26,6777,0.01
2004-03-27,6777,0.007
2004-03-28,6777,0.005
2004-03-29,6777,0.003
2004-03-30,6777,0.003
2004-03-31,6777,0.003
2004-04-01,6777,0.022
2004-04-02,6777,0.034
2004-04-03,6777,0.054
2004-04-04,6777,0.042
2004-04-05,6777,0.031
2004-04-06,6777,0.021
2004-04-07,6777,0.012
2004-04-08,6777,0.007
2004-04-09,6777,0.006
2004-04-10,6777,0.004
2004-04-11,6777,0.003
2004-04-12,6777,0.003
2004-04-13,6777,0.002
2004-04-14,6777,0.002
2004-04-15,6777,0.007
2004-04-16,6777,0.024
2004-04-17,6777,0.078
2004-04-18,6777,0.055
2004-04-19,6777,0.033
2004-04-20,6777,0.036
2004-04-21,6777,0.049
2004-04-22,6777,0.025
2004-04-23,6777,0.014
2004-04-24,6777,0.008
2004-04-25,6777,0.005
2004-04-26,6777,0.004
2004-04-27,6777,0.003
2004-04-28,6777,0.003
2004-04-29,6777,0.002
2004-04-30,6777,0.002
2004-05-01,6777,0.002
2004-01-01,6697,0.002
2004-01-02,6697,0.002
2004-01-03,6697,0.002
2004-01-04,6697,0.007
2004-01-05,6697,0.05
2004-01-06,6697,0.032
2004-01-07,6697,0.053
2004-01-08,6697,0.141
2004-01-09,6697,0.067
2004-01-10,6697,0.089
2004-01-11,6697,0.079
2004-01-12,6697,0.091
2004-01-13,6697,0.059
2004-01-14,6697,0.028
2004-01-15,6697,0.086
2004-01-16,6697,0.041
2004-01-17,6697,0.02
2004-01-18,6697,0.024
2004-01-19,6697,0.031
2004-01-20,6697,0.033
2004-01-21,6697,0.02
2004-01-22,6697,0.022
2004-01-23,6697,0.025
2004-01-24,6697,0.014
2004-01-25,6697,0.008
2004-01-26,6697,0.005
2004-01-27,6697,0.003
2004-01-28,6697,0.002
2004-01-29,6697,0.002
2004-01-30,6697,0.108
2004-01-31,6697,0.189
2004-02-01,6697,0.105
2004-02-02,6697,0.13
2004-02-03,6697,0.118
2004-02-04,6697,0.168
2004-02-05,6697,0.076
2004-02-06,6697,0.048
2004-02-07,6697,0.058
2004-02-08,6697,0.028
2004-02-09,6697,0.014
2004-02-10,6697,0.012
2004-02-11,6697,0.012
2004-02-12,6697,0.006
2004-02-13,6697,0.005
2004-02-14,6697,0.003
2004-02-15,6697,0.003
2004-02-16,6697,0.015
2004-02-17,6697,0.008
2004-02-18,6697,0.007
2004-02-19,6697,0.004
2004-02-20,6697,0.003
2004-02-21,6697,0.002
2004-02-22,6697,0.002
2004-02-23,6697,0.002
2004-02-24,6697,0.002
2004-02-25,6697,0.002
2004-02-26,6697,0.002
2004-02-27,6697,0.002
2004-02-28,6697,0.002
2004-02-29,6697,0.002
2004-03-01,6697,0.002
2004-03-02,6697,0.002
2004-03-03,6697,0.008
2004-03-04,6697,0.012
2004-03-05,6697,0.016
2004-03-06,6697,0.017
2004-03-07,6697,0.013
2004-03-08,6697,0.009
2004-03-09,6697,0.005
2004-03-10,6697,0.004
2004-03-11,6697,0.003
2004-03-12,6697,0.002
2004-03-13,6697,0.013
2004-03-14,6697,0.036
2004-03-15,6697,0.033
2004-03-16,6697,0.023
2004-03-17,6697,0.012
2004-03-18,6697,0.065
2004-03-19,6697,0.055
2004-03-20,6697,0.078
2004-03-21,6697,0.049
2004-03-22,6697,0.027
2004-03-23,6697,0.018
2004-03-24,6697,0.022
2004-03-25,6697,0.014
2004-03-26,6697,0.009
2004-03-27,6697,0.005
2004-03-28,6697,0.003
2004-03-29,6697,0.003
2004-03-30,6697,0.002
2004-03-31,6697,0.002
2004-04-01,6697,0.025
2004-04-02,6697,0.037
2004-04-03,6697,0.06
2004-04-04,6697,0.046
2004-04-05,6697,0.034
2004-04-06,6697,0.022
2004-04-07,6697,0.012
2004-04-08,6697,0.007
2004-04-09,6697,0.006
2004-04-10,6697,0.004
2004-04-11,6697,0.003
2004-04-12,6697,0.002
2004-04-13,6697,0.002
2004-04-14,6697,0.002
2004-04-15,6697,0.008
2004-04-16,6697,0.028
2004-04-17,6697,0.082
2004-04-18,6697,0.059
2004-04-19,6697,0.034
2004-04-20,6697,0.035
2004-04-21,6697,0.051
2004-04-22,6697,0.025
2004-04-23,6697,0.012
2004-04-24,6697,0.007
2004-04-25,6697,0.004
2004-04-26,6697,0.003
2004-04-27,6697,0.002
2004-04-28,6697,0.002
2004-04-29,6697,0.002
2004-04-30,6697,0.002
2004-05-01,6697,0.002
2004-01-01,4897,0.005
2004-01-02,4897,0.004
2004-01-03,4897,0.004
2004-01-04,4897,0.01
2004-01-05,4897,0.073
2004-01-06,4897,0.041
2004-01-07,4897,0.049
2004-01-08,4897,0.106
2004-01-09,4897,0.059
2004-01-10,4897,0.084
2004-01-11,4897,0.073
2004-01-12,4897,0.095
2004-01-13,4897,0.062
2004-01-14,4897,0.033
2004-01-15,4897,0.083
2004-01-16,4897,0.041
2004-01-17,4897,0.023
2004-01-18,4897,0.035
2004-01-19,4897,0.043
2004-01-20,4897,0.038
2004-01-21,4897,0.027
2004-01-22,4897,0.028
2004-01-23,4897,0.036
2004-01-24,4897,0.023
2004-01-25,4897,0.014
2004-01-26,4897,0.009
2004-01-27,4897,0.006
2004-01-28,4897,0.005
2004-01-29,4897,0.004
2004-01-30,4897,0.18
2004-01-31,4897,0.195
2004-02-01,4897,0.113
2004-02-02,4897,0.231
2004-02-03,4897,0.152
2004-02-04,4897,0.213
2004-02-05,4897,0.09
2004-02-06,4897,0.061
2004-02-07,4897,0.061
2004-02-08,4897,0.033
2004-02-09,4897,0.02
2004-02-10,4897,0.016
2004-02-11,4897,0.019
2004-02-12,4897,0.012
2004-02-13,4897,0.008
2004-02-14,4897,0.006
2004-02-15,4897,0.005
2004-02-16,4897,0.011
2004-02-17,4897,0.007
2004-02-18,4897,0.006
2004-02-19,4897,0.005
2004-02-20,4897,0.004
2004-02-21,4897,0.003
2004-02-22,4897,0.003
2004-02-23,4897,0.003
2004-02-24,4897,0.003
2004-02-25,4897,0.003
2004-02-26,4897,0.003
2004-02-27,4897,0.003
2004-02-28,4897,0.003
2004-02-29,4897,0.003
2004-03-01,4897,0.003
2004-03-02,4897,0.003
2004-03-03,4897,0.003
2004-03-04,4897,0.006
2004-03-05,4897,0.012
2004-03-06,4897,0.011
2004-03-07,4897,0.008
2004-03-08,4897,0.007
2004-03-09,4897,0.005
2004-03-10,4897,0.004
2004-03-11,4897,0.003
2004-03-12,4897,0.003
2004-03-13,4897,0.015
2004-03-14,4897,0.042
2004-03-15,4897,0.059
2004-03-16,4897,0.045
2004-03-17,4897,0.028
2004-03-18,4897,0.069
2004-03-19,4897,0.063
2004-03-20,4897,0.095
2004-03-21,4897,0.062
2004-03-22,4897,0.034
2004-03-23,4897,0.021
2004-03-24,4897,0.021
2004-03-25,4897,0.014
2004-03-26,4897,0.01
2004-03-27,4897,0.007
2004-03-28,4897,0.006
2004-03-29,4897,0.005
2004-03-30,4897,0.004
2004-03-31,4897,0.004
2004-04-01,4897,0.024
2004-04-02,4897,0.03
2004-04-03,4897,0.057
2004-04-04,4897,0.057
2004-04-05,4897,0.05
2004-04-06,4897,0.033
2004-04-07,4897,0.019
2004-04-08,4897,0.011
2004-04-09,4897,0.012
2004-04-10,4897,0.008
2004-04-11,4897,0.006
2004-04-12,4897,0.005
2004-04-13,4897,0.004
2004-04-14,4897,0.004
2004-04-15,4897,0.014
2004-04-16,4897,0.022
2004-04-17,4897,0.067
2004-04-18,4897,0.048
2004-04-19,4897,0.027
2004-04-20,4897,0.022
2004-04-21,4897,0.061
2004-04-22,4897,0.031
2004-04-23,4897,0.017
2004-04-24,4897,0.01
2004-04-25,4897,0.007
2004-04-26,4897,0.005
2004-04-27,4897,0.004
2004-04-28,4897,0.004
2004-04-29,4897,0.004
2004-04-30,4897,0.003
2004-05-01,4897,0.003
2004-01-01,6480,0.005
2004-01-02,6480,0.007
2004-01-03,6480,0.007
2004-01-04,6480,0.019
2004-01-05,6480,0.065
2004-01-06,6480,0.038
2004-01-07,6480,0.049
2004-01-08,6480,0.097
2004-01-09,6480,0.059
2004-01-10,6480,0.082
2004-01-11,6480,0.07
2004-01-12,6480,0.084
2004-01-13,6480,0.061
2004-01-14,6480,0.03
2004-01-15,6480,0.11
2004-01-16,6480,0.045
2004-01-17,6480,0.022
2004-01-18,6480,0.036
2004-01-19,6480,0.045
2004-01-20,6480,0.037
2004-01-21,6480,0.024
2004-01-22,6480,0.03
2004-01-23,6480,0.037
2004-01-24,6480,0.021
2004-01-25,6480,0.012
2004-01-26,6480,0.007
2004-01-27,6480,0.004
2004-01-28,6480,0.003
2004-01-29,6480,0.003
2004-01-30,6480,0.145
2004-01-31,6480,0.191
2004-02-01,6480,0.112
2004-02-02,6480,0.191
2004-02-03,6480,0.125
2004-02-04,6480,0.197
2004-02-05,6480,0.08
2004-02-06,6480,0.06
2004-02-07,6480,0.061
2004-02-08,6480,0.03
2004-02-09,6480,0.015
2004-02-10,6480,0.014
2004-02-11,6480,0.016
2004-02-12,6480,0.009
2004-02-13,6480,0.005
2004-02-14,6480,0.004
2004-02-15,6480,0.003
2004-02-16,6480,0.011
2004-02-17,6480,0.007
2004-02-18,6480,0.004
2004-02-19,6480,0.003
2004-02-20,6480,0.003
2004-02-21,6480,0.003
2004-02-22,6480,0.003
2004-02-23,6480,0.003
2004-02-24,6480,0.003
2004-02-25,6480,0.003
2004-02-26,6480,0.003
2004-02-27,6480,0.003
2004-02-28,6480,0.003
2004-02-29,6480,0.003
2004-03-01,6480,0.003
2004-03-02,6480,0.003
2004-03-03,6480,0.019
2004-03-04,6480,0.015
2004-03-05,6480,0.024
2004-03-06,6480,0.017
2004-03-07,6480,0.012
2004-03-08,6480,0.009
2004-03-09,6480,0.005
2004-03-10,6480,0.004
2004-03-11,6480,0.003
2004-03-12,6480,0.003
2004-03-13,6480,0.014
2004-03-14,6480,0.037
2004-03-15,6480,0.046
2004-03-16,6480,0.025
2004-03-17,6480,0.013
2004-03-18,6480,0.063
2004-03-19,6480,0.057
2004-03-20,6480,0.072
2004-03-21,6480,0.052
2004-03-22,6480,0.029
2004-03-23,6480,0.018
2004-03-24,6480,0.015
2004-03-25,6480,0.009
2004-03-26,6480,0.007
2004-03-27,6480,0.005
2004-03-28,6480,0.003
2004-03-29,6480,0.003
2004-03-30,6480,0.003
2004-03-31,6480,0.002
2004-04-01,6480,0.019
2004-04-02,6480,0.027
2004-04-03,6480,0.055
2004-04-04,6480,0.051
2004-04-05,6480,0.045
2004-04-06,6480,0.029
2004-04-07,6480,0.015
2004-04-08,6480,0.008
2004-04-09,6480,0.007
2004-04-10,6480,0.005
2004-04-11,6480,0.003
2004-04-12,6480,0.003
2004-04-13,6480,0.003
2004-04-14,6480,0.002
2004-04-15,6480,0.015
2004-04-16,6480,0.023
2004-04-17,6480,0.073
2004-04-18,6480,0.059
2004-04-19,6480,0.031
2004-04-20,6480,0.027
2004-04-21,6480,0.052
2004-04-22,6480,0.025
2004-04-23,6480,0.013
2004-04-24,6480,0.007
2004-04-25,6480,0.005
2004-04-26,6480,0.003
2004-04-27,6480,0.003
2004-04-28,6480,0.003
2004-04-29,6480,0.002
2004-04-30,6480,0.002
2004-05-01,6480,0.002
2004-01-01,4829,0.003
2004-01-02,4829,0.003
2004-01-03,4829,0.004
2004-01-04,4829,0.011
2004-01-05,4829,0.081
2004-01-06,4829,0.045
2004-01-07,4829,0.053
2004-01-08,4829,0.111
2004-01-09,4829,0.061
2004-01-10,4829,0.087
2004-01-11,4829,0.077
2004-01-12,4829,0.099
2004-01-13,4829,0.064
2004-01-14,4829,0.031
2004-01-15,4829,0.082
2004-01-16,4829,0.04
2004-01-17,4829,0.02
2004-01-18,4829,0.035
2004-01-19,4829,0.045
2004-01-20,4829,0.04
2004-01-21,4829,0.027
2004-01-22,4829,0.027
2004-01-23,4829,0.037
2004-01-24,4829,0.022
2004-01-25,4829,0.013
2004-01-26,4829,0.007
2004-01-27,4829,0.005
2004-01-28,4829,0.003
2004-01-29,4829,0.003
2004-01-30,4829,0.195
2004-01-31,4829,0.211
2004-02-01,4829,0.12
2004-02-02,4829,0.245
2004-02-03,4829,0.157
2004-02-04,4829,0.222
2004-02-05,4829,0.089
2004-02-06,4829,0.057
2004-02-07,4829,0.057
2004-02-08,4829,0.028
2004-02-09,4829,0.014
2004-02-10,4829,0.012
2004-02-11,4829,0.009
2004-02-12,4829,0.006
2004-02-13,4829,0.004
2004-02-14,4829,0.003
2004-02-15,4829,0.003
2004-02-16,4829,0.01
2004-02-17,4829,0.006
2004-02-18,4829,0.004
2004-02-19,4829,0.004
2004-02-20,4829,0.003
2004-02-21,4829,0.003
2004-02-22,4829,0.003
2004-02-23,4829,0.003
2004-02-24,4829,0.003
2004-02-25,4829,0.003
2004-02-26,4829,0.003
2004-02-27,4829,0.003
2004-02-28,4829,0.003
2004-02-29,4829,0.003
2004-03-01,4829,0.003
2004-03-02,4829,0.003
2004-03-03,4829,0.005
2004-03-04,4829,0.007
2004-03-05,4829,0.013
2004-03-06,4829,0.012
2004-03-07,4829,0.011
2004-03-08,4829,0.008
2004-03-09,4829,0.005
2004-03-10,4829,0.004
2004-03-11,4829,0.003
2004-03-12,4829,0.003
2004-03-13,4829,0.016
2004-03-14,4829,0.046
2004-03-15,4829,0.066
2004-03-16,4829,0.047
2004-03-17,4829,0.025
2004-03-18,4829,0.07
2004-03-19,4829,0.066
2004-03-20,4829,0.098
2004-03-21,4829,0.065
2004-03-22,4829,0.033
2004-03-23,4829,0.019
2004-03-24,4829,0.018
2004-03-25,4829,0.011
2004-03-26,4829,0.007
2004-03-27,4829,0.005
2004-03-28,4829,0.004
2004-03-29,4829,0.003
2004-03-30,4829,0.003
2004-03-31,4829,0.003
2004-04-01,4829,0.025
2004-04-02,4829,0.03
2004-04-03,4829,0.06
2004-04-04,4829,0.061
2004-04-05,4829,0.051
2004-04-06,4829,0.032
2004-04-07,4829,0.017
2004-04-08,4829,0.009
2004-04-09,4829,0.01
2004-04-10,4829,0.006
2004-04-11,4829,0.004
2004-04-12,4829,0.003
2004-04-13,4829,0.003
2004-04-14,4829,0.003
2004-04-15,4829,0.014
2004-04-16,4829,0.023
2004-04-17,4829,0.071
2004-04-18,4829,0.05
2004-04-19,4829,0.027
2004-04-20,4829,0.02
2004-04-21,4829,0.063
2004-04-22,4829,0.031
2004-04-23,4829,0.016
2004-04-24,4829,0.009
2004-04-25,4829,0.006
2004-04-26,4829,0.004
2004-04-27,4829,0.003
2004-04-28,4829,0.003
2004-04-29,4829,0.003
2004-04-30,4829,0.003
2004-05-01,4829,0.003
2004-01-01,4943,0.003
2004-01-02,4943,0.003
2004-01-03,4943,0.003
2004-01-04,4943,0.008
2004-01-05,4943,0.079
2004-01-06,4943,0.043
2004-01-07,4943,0.053
2004-01-08,4943,0.121
2004-01-09,4943,0.068
2004-01-10,4943,0.088
2004-01-11,4943,0.073
2004-01-12,4943,0.096
2004-01-13,4943,0.063
2004-01-14,4943,0.03
2004-01-15,4943,0.088
2004-01-16,4943,0.04
2004-01-17,4943,0.02
2004-01-18,4943,0.03
2004-01-19,4943,0.034
2004-01-20,4943,0.032
2004-01-21,4943,0.025
2004-01-22,4943,0.023
2004-01-23,4943,0.035
2004-01-24,4943,0.023
2004-01-25,4943,0.013
2004-01-26,4943,0.007
2004-01-27,4943,0.005
2004-01-28,4943,0.004
2004-01-29,4943,0.003
2004-01-30,4943,0.178
2004-01-31,4943,0.199
2004-02-01,4943,0.117
2004-02-02,4943,0.236
2004-02-03,4943,0.162
2004-02-04,4943,0.211
2004-02-05,4943,0.077
2004-02-06,4943,0.046
2004-02-07,4943,0.054
2004-02-08,4943,0.027
2004-02-09,4943,0.014
2004-02-10,4943,0.011
2004-02-11,4943,0.007
2004-02-12,4943,0.005
2004-02-13,4943,0.004
2004-02-14,4943,0.003
2004-02-15,4943,0.003
2004-02-16,4943,0.01
2004-02-17,4943,0.006
2004-02-18,4943,0.005
2004-02-19,4943,0.004
2004-02-20,4943,0.003
2004-02-21,4943,0.003
2004-02-22,4943,0.003
2004-02-23,4943,0.003
2004-02-24,4943,0.003
2004-02-25,4943,0.003
2004-02-26,4943,0.003
2004-02-27,4943,0.003
2004-02-28,4943,0.003
2004-02-29,4943,0.003
2004-03-01,4943,0.003
2004-03-02,4943,0.003
2004-03-03,4943,0.003
2004-03-04,4943,0.007
2004-03-05,4943,0.011
2004-03-06,4943,0.013
2004-03-07,4943,0.012
2004-03-08,4943,0.009
2004-03-09,4943,0.006
2004-03-10,4943,0.004
2004-03-11,4943,0.003
2004-03-12,4943,0.003
2004-03-13,4943,0.02
2004-03-14,4943,0.045
2004-03-15,4943,0.054
2004-03-16,4943,0.037
2004-03-17,4943,0.019
2004-03-18,4943,0.064
2004-03-19,4943,0.061
2004-03-20,4943,0.112
2004-03-21,4943,0.06
2004-03-22,4943,0.03
2004-03-23,4943,0.02
2004-03-24,4943,0.02
2004-03-25,4943,0.011
2004-03-26,4943,0.007
2004-03-27,4943,0.005
2004-03-28,4943,0.005
2004-03-29,4943,0.004
2004-03-30,4943,0.003
2004-03-31,4943,0.003
2004-04-01,4943,0.026
2004-04-02,4943,0.043
2004-04-03,4943,0.066
2004-04-04,4943,0.06
2004-04-05,4943,0.05
2004-04-06,4943,0.031
2004-04-07,4943,0.016
2004-04-08,4943,0.009
2004-04-09,4943,0.008
2004-04-10,4943,0.005
2004-04-11,4943,0.004
2004-04-12,4943,0.003
2004-04-13,4943,0.003
2004-04-14,4943,0.003
2004-04-15,4943,0.009
2004-04-16,4943,0.023
2004-04-17,4943,0.071
2004-04-18,4943,0.048
2004-04-19,4943,0.026
2004-04-20,4943,0.021
2004-04-21,4943,0.061
2004-04-22,4943,0.029
2004-04-23,4943,0.015
2004-04-24,4943,0.009
2004-04-25,4943,0.005
2004-04-26,4943,0.004
2004-04-27,4943,0.005
2004-04-28,4943,0.004
2004-04-29,4943,0.003
2004-04-30,4943,0.003
2004-05-01,4943,0.003
2004-01-01,6863,0.004
2004-01-02,6863,0.005
2004-01-03,6863,0.004
2004-01-04,6863,0.014
2004-01-05,6863,0.054
2004-01-06,6863,0.033
2004-01-07,6863,0.049
2004-01-08,6863,0.115
2004-01-09,6863,0.065
2004-01-10,6863,0.09
2004-01-11,6863,0.076
2004-01-12,6863,0.087
2004-01-13,6863,0.065
2004-01-14,6863,0.032
2004-01-15,6863,0.111
2004-01-16,6863,0.046
2004-01-17,6863,0.023
2004-01-18,6863,0.041
2004-01-19,6863,0.05
2004-01-20,6863,0.042
2004-01-21,6863,0.028
2004-01-22,6863,0.034
2004-01-23,6863,0.038
2004-01-24,6863,0.022
2004-01-25,6863,0.013
2004-01-26,6863,0.007
2004-01-27,6863,0.005
2004-01-28,6863,0.003
2004-01-29,6863,0.003
2004-01-30,6863,0.11
2004-01-31,6863,0.182
2004-02-01,6863,0.107
2004-02-02,6863,0.141
2004-02-03,6863,0.119
2004-02-04,6863,0.175
2004-02-05,6863,0.079
2004-02-06,6863,0.056
2004-02-07,6863,0.06
2004-02-08,6863,0.029
2004-02-09,6863,0.015
2004-02-10,6863,0.015
2004-02-11,6863,0.008
2004-02-12,6863,0.005
2004-02-13,6863,0.004
2004-02-14,6863,0.003
2004-02-15,6863,0.003
2004-02-16,6863,0.008
2004-02-17,6863,0.005
2004-02-18,6863,0.004
2004-02-19,6863,0.003
2004-02-20,6863,0.003
2004-02-21,6863,0.003
2004-02-22,6863,0.003
2004-02-23,6863,0.003
2004-02-24,6863,0.003
2004-02-25,6863,0.003
2004-02-26,6863,0.003
2004-02-27,6863,0.003
2004-02-28,6863,0.003
2004-02-29,6863,0.003
2004-03-01,6863,0.003
2004-03-02,6863,0.003
2004-03-03,6863,0.028
2004-03-04,6863,0.02
2004-03-05,6863,0.032
2004-03-06,6863,0.016
2004-03-07,6863,0.011
2004-03-08,6863,0.006
2004-03-09,6863,0.004
2004-03-10,6863,0.003
2004-03-11,6863,0.003
2004-03-12,6863,0.003
2004-03-13,6863,0.013
2004-03-14,6863,0.03
2004-03-15,6863,0.03
2004-03-16,6863,0.017
2004-03-17,6863,0.009
2004-03-18,6863,0.061
2004-03-19,6863,0.055
2004-03-20,6863,0.067
2004-03-21,6863,0.045
2004-03-22,6863,0.026
2004-03-23,6863,0.016
2004-03-24,6863,0.015
2004-03-25,6863,0.009
2004-03-26,6863,0.007
2004-03-27,6863,0.004
2004-03-28,6863,0.003
2004-03-29,6863,0.003
2004-03-30,6863,0.003
2004-03-31,6863,0.003
2004-04-01,6863,0.02
2004-04-02,6863,0.035
2004-04-03,6863,0.059
2004-04-04,6863,0.048
2004-04-05,6863,0.045
2004-04-06,6863,0.029
2004-04-07,6863,0.015
2004-04-08,6863,0.008
2004-04-09,6863,0.006
2004-04-10,6863,0.004
2004-04-11,6863,0.003
2004-04-12,6863,0.003
2004-04-13,6863,0.003
2004-04-14,6863,0.002
2004-04-15,6863,0.014
2004-04-16,6863,0.023
2004-04-17,6863,0.086
2004-04-18,6863,0.067
2004-04-19,6863,0.039
2004-04-20,6863,0.037
2004-04-21,6863,0.06
2004-04-22,6863,0.029
2004-04-23,6863,0.015
2004-04-24,6863,0.008
2004-04-25,6863,0.005
2004-04-26,6863,0.004
2004-04-27,6863,0.003
2004-04-28,6863,0.003
2004-04-29,6863,0.003
2004-04-30,6863,0.002
2004-05-01,6863,0.002
2004-01-01,7011,0.004
2004-01-02,7011,0.004
2004-01-03,7011,0.003
2004-01-04,7011,0.008
2004-01-05,7011,0.042
2004-01-06,7011,0.027
2004-01-07,7011,0.046
2004-01-08,7011,0.124
2004-01-09,7011,0.064
2004-01-10,7011,0.083
2004-01-11,7011,0.073
2004-01-12,7011,0.083
2004-01-13,7011,0.057
2004-01-14,7011,0.03
2004-01-15,7011,0.085
2004-01-16,7011,0.042
2004-01-17,7011,0.023
2004-01-18,7011,0.026
2004-01-19,7011,0.031
2004-01-20,7011,0.032
2004-01-21,7011,0.023
2004-01-22,7011,0.028
